address,lat,lng
闵行区金阳路116弄,31.039333,121.423376
闵行区颛兴路666弄,31.064924,121.388969
闵行区都会路2799弄,31.080099,121.410041
闵行区光华路1号,31.071452,121.398097
闵行区向阳村,31.068359,121.419435
闵行区都庄路2727号,31.082062,121.417226
闵行区沪光路425弄,31.076783,121.410884
闵行区东华美路151弄,31.221382,121.331884
闵行区莘西南路400弄,31.099042,121.377074
闵行区盐铁塘路176弄,31.035695,121.511371
闵行区报春路817弄,31.120093,121.377042
闵行区江玮路100弄,31.058015,121.53083
闵行区浦申路200弄,31.075927,121.506982
闵行区龙吴路5511弄,31.044419,121.4665
闵行区剑川路150弄,31.043661,121.465335
闵行区疏影路789弄,31.118706,121.364966
闵行区广南路666弄,31.036962,121.463257
闵行区莘西南路155弄,31.094508,121.379022
闵行区浦驰路188弄,31.074242,121.503454
嘉定区嘉定镇街道李园二村,31.388743,121.250272
嘉定区安研路66弄,31.274493,121.190942
嘉定区安亭镇联群村,31.276628,121.246297
嘉定区墨玉路388弄,31.300366,121.162221
嘉定区华亭镇唐行石村,31.455225,121.249873
嘉定区城北路3980号,31.447426,121.192859
嘉定区汇通路25号,31.403568,121.186506
嘉定区嘉定工业区娄东村,31.434694,121.232245
嘉定区娄塘路747弄,31.4305,121.21715
嘉定区嘉唐公路1256号,31.425894,121.215023
嘉定区南新路216号,31.430692,121.218068
嘉定区工业区中贸世纪,31.36262,121.230185
嘉定区城中路213弄,31.388398,121.245161
嘉定区曹安公路2300号,31.261624,121.34192
嘉定区嘉峪关路380弄,31.270947,121.316962
嘉定区大宅风范城,31.243579,121.325917
嘉定区江桥镇五四村,31.250027,121.326931
嘉定区金园一路1115弄,31.244772,121.319573
嘉定区靖远路1099弄,31.25447,121.324657
嘉定区临夏路98弄,31.258284,121.336736
嘉定区星华公路2173号,31.271646,121.284744
嘉定区榆中路68弄,31.25428,121.325889
嘉定区慈竹路836弄,31.380381,121.212666
嘉定区嘉行公路225弄,31.398669,121.254183
嘉定区首创旭辉城一期,31.412492,121.201108
嘉定区中大街104弄,31.430769,121.216973
嘉定区南翔镇永丰村、新丰村,31.320641,121.301795
嘉定区澄浏中路3128弄,31.386559,121.278352
金山区海盛路515弄,30.755962,121.345236
金山区星火村,30.771869,121.263714
金山区下坊村,30.85774,121.106629
松江区东港村,30.989397,121.19935
松江区银都西路85号,31.082672,121.36927
松江区松东路193弄,31.013446,121.25244
松江区场西路155弄,31.092241,121.343043
松江区长溇村,30.964782,121.286372
松江区青浦区,31.150681,121.124178
松江区北青公路3488号,31.201916,121.251444
松江区乐爱路38弄,31.1763,121.234414
松江区沪青平公路2095号,31.157635,121.2622
松江区奉贤区,30.917795,121.474042
松江区振泰路256弄,30.980532,121.559955
松江区振泰路168弄,30.979565,121.561996
松江区西闸路1118弄,30.994173,121.44511
松江区航谊路8号,30.947364,121.461706
松江区崇明区,31.623587,121.397417
松江区崇明区江南大道,31.368427,121.737819
浦东新区芳华路933弄,31.197884,121.568700
浦东新区上浦路69弄,31.145309,121.490236
浦东新区潍坊六村,31.222213,121.522420
浦东新区巨峰路176弄,31.279200,121.597196
浦东新区欣连佳苑,31.330529,121.618139
浦东新区江东支路南项湾,31.358571,121.557731
浦东新区陈春路620弄,31.172849,121.545710
浦东新区锦康路389弄,31.209511,121.536289
浦东新区周秀路118弄,31.099961,121.605285
浦东新区三林路359弄,31.138994,121.498615
浦东新区居家桥路737弄,31.247486,121.570958
浦东新区建中路461弄,31.199420,121.610543
浦东新区世纪大道1239号,31.229274,121.528011
浦东新区孙耀路128弄,31.185090,121.633725
浦东新区陈春东路120号,31.175076,121.560533
浦东新区沪南路1391弄,31.173609,121.558102
浦东新区严民路248弄,31.188786,121.530666
浦东新区博山东路553弄,31.255232,121.568917
浦东新区栖山路1555弄,31.257609,121.565010
浦东新区方竹路789弄,30.894119,121.900617
浦东新区北新园路460弄,31.320014,121.626674
浦东新区法赛路518号,31.314279,121.620886
浦东新区玉兰路99弄,31.204265,121.548496
浦东新区杨桥村西计家宅,31.189296,121.576660
浦东新区星辰苑,31.202361,121.550182
浦东新区新环西路58弄,31.016521,121.641518
浦东新区舒馨北苑,31.191481,121.667315
浦东新区鹤洁路625弄,31.070116,121.605710
浦东新区申城佳苑二期,31.182440,121.633973
浦东新区华夏二路1455弄,31.173362,121.692569
浦东新区益江路126弄,31.201265,121.633199
浦东新区益江路396弄,31.198919,121.626818
浦东新区建中路126弄,31.203366,121.613478
浦东新区城南路303弄,31.041618,121.750908
浦东新区东方路1881弄,31.199175,121.521789
浦东新区东靖路2250弄,31.289230,121.611155
浦东新区寿光路161弄,31.274435,121.583951
